;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 1999;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 1999 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.*;d‚p. r‚elles;mobilis. du; + am.dette*/;brut/rec. ;la dette/rec.;
;;;;;(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;436 390; ;;4 172;2 008;4 575;1 672;1 414;478;36,13%;92,80%;108,46%;36,55%;30,00%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;255 937;;A;6 643;3 622;7 493;1 335;2 596;1 486;51,10%;89,45%;106,85%;17,82%;18,00%;
;SCHILTIGHEIM;29 330;;A;3 902;2 324;4 512;1 150;3 665;1 050;53,76%;55,48%;94,65%;25,49%;12,39%;
;ILLKIRCH GRAF.;23 738;;A;3 446;3 113;4 950;2 003;6 832;1 034;49,00%;67,00%;84,00%;40,00%;138,00%;
;LINGOLSHEIM;16 496;;A ;2 621;1 463;3 233;474;6 794;1 000;55,89%;54,19%;97,61%;14,68%;228,77%;
;BISCHHEIM;16 326; ;A;3 544;2 040;4 337;557;7 631;1 335;44,51%;71,91%;93,13%;12,83%;175,94%;
;HOENHEIM;10 587;;A;2 660;1 284;2 976;939;1 199;932;53,22%;52,71%;93,07%;31,55%;40,29%;
;OSTWALD;10 242;;A;3 393;1 595;3 854;801;3 925;1 115;59,75%;47,45%;100,00%;20,79%;101,83%;
;;;;;;;;;;;;;;;;
;SOUFFELWEYERSHEIM;5 607;;B;2 249;1 377;2 776;1 483;1 352;677;;;;;;
;GEISPOLSHEIM;7 123;;B;2 777;1 821;3 121;6 392;3 229;499;;;;;;
 ;ECKBOLSHEIM;5 264;;B;2 555;1 770;3 154;1 084;2 791;673;;;;;;
;VENDENHEIM;5 210;;B;2 893;2 871;4 408;1 692;0;597;;;;;;
 ;MUNDOLSHEIM;5 445;;B;3 315;2 088;4 058;1 108;5 828;515;;;;;;
;REICHSTETT;4 653;;B;2 846;1 789;3 192;2 084;3 934;558;;;;;;
;WANTZENAU (LA);5 172;;B;3 041;2 287;3 720;1 497;2 157;552;;;;;;
;FEGERSHEIM;3 953;;B;3 158;2 832;4 178;2 424;6 275;552;;;;;;
;ESCHAU;3 833;;B;2 168;1 630;3 241;3 375;1 240;778;;;;;;
;WOLFISHEIM;3 812;;B;3 265;1 540;3 478;1 060;7 836;588;;;;;;
;pour m‚moire valeurs moyennes (exercice 1995) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;6 200;3 319;6 896;1 383;7 400;1 541;48,3%;96,5%;99,5%;20,1%;1,07;
; - 100 000 … 300 000 hab.;;;;6 388;3 338;7 129;1 360;7 958;1 670;45,6%;100,2%;100,2%;19,1%;1,12;
; -   20 000 …   50 000 hab.;;;;6 204;3 380;6 801;1 382;7 143;1 513;49,3%;97,5%;100,3%;20,3%;1,05;
; -   10 000 …   20 000 hab.;;;;5 513;3 021;6 150;1 369;6 593;1 393;48,2%;92,1%;99,1%;22,3%;1,07;
;;;;;;;;;; *y compris dotation;;; *exclus de la dette les r‚am‚nagements;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;sp‚ciale instituteurs;;;de dette avec emprunts de refinancement;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;; ;;
;;;;;;;;;;;;;;;;
