;;  ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;page 69;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2005;;;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2005 (*) ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;Encours de;D‚p. d'‚quip.;;;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;la dette/rec.;brut/rec. ;;;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;;;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;;;
;;;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;456 551; ;;952;411;999;385;105;239;19,70%;68,66%;97,58%;10,50%;38,59%;;;
;; ;;;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;1 134;433;1 269;435;603;197;55,37%;54,03%;95,36%;47,55%;34,25%;;;
;SCHILTIGHEIM;30 991;;A;662;305;777;193;483;135;58,96%;;92,95%;0,62%;24,89%;;;
;ILLKIRCH GRAF.;25 183;;A;720;376;877;436;344;123;54,88%;39,91%;91,92%;39,24%;49,76%;;;
;BISCHHEIM;16 964; ;A;681;355;773;133;1 058;207;54,70%;64,10%;100,90%;137,00%;17,20%;;;
;LINGOLSHEIM;16 860;;A ;487;288;610;303;553;133;54,65%;101,13%;95,21%;90,75%;49,64%;;;
;OSTWALD;10 820;;A;701;305;756;200;556;181;51,02%;;95,22%;73,50%;26,39%;;;
;HOENHEIM;10 767;;A;499;316;611;112;165;135;52,87%;106,71%;85,90%;27,03%;18,35%;;;
;;;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 071;;B;552;306;742;487;579;70;;;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;596;299;623;205;195;91;;;;;;;;
;ECKBOLSHEIM;5 967;;B;592;379;697;241;506;117;;;;;;;;
;VENDENHEIM;5 629;;B;784;394;841;347;406;71;;;;;;;;
;WANTZENAU (LA);5 501;;B;556;372;880;416;580;89;;;;;;;;
;MUNDOLSHEIM;5 317;;B;751;380;856;517;1 288;65;;;;;;;;
;REICHSTETT;4 900;;B;511;331;607;153;761;83;;;;;;;;
;FEGERSHEIM;4 553;;B;639;406;823;304;826;83;;;;;;;;
;OBERHAUSBERGEN;4 540;;B;388;293;544;255;;47;;;;;;;;
;ESCHAU;4 429;;B;474;350;636;470;320;100;;;;;;;;
;WOLFISHEIM;3 850;;B;587;310;584;51;807;80;;;;;;;;
;PLOBSHEIM;3 654;;B;628;258;630;382;230;92;;;;;;;;
;pour m‚moire valeurs moyennes (exercice 2004) :;;;;;;;;;;;;;;;;;
; - moyenne nationale hors Paris  ;;;;908;496;1 006;457;829;232;49,1%;100,4%;99,0%;0,82%;45,4%;;;
; + de 100 000 hab. hors Paris;;;;1 099;643;1 211;292;1 019;260;53,3%;118,8%;97,0%;0,84%;24,1%;;;
; -   50 000 …  100 000 hab.;;;;1 276;721;1 406;348;1 225;315;53,1%;96,3%;99,0%;0,87%;24,7%;;;
; -   20 000 …   50 000 hab.;;;;1 138;647;1 263;340;1 041;285;54,6%;103,9%;98,5%;0,82%;26,9%;;;
; -   10 000 …   20 000 hab.;;;;1 012;608;1 143;380;885;244;53,5%;107,7%;97,2%;0,77%;33,3%;;;
;;;;;;;;;;;;;;;;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;;;
