;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2007;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2007 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8bis -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;457 928; ;;877;403;1 000;707;270;244;22,52%;126,89%;90,45%;7067,00%;27,03%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;1 114;455;1 217;468;531;216;58,70%;102,90%;99,52%;38,45%;43,64%;
;SCHILTIGHEIM;30 991;;A;709;321;784;189;415;139;59,44%;;97,37%;24,10%;0,53%;
;ILLKIRCH GRAF.;25 183;;A;778;405;946;321;296;126;56,53%;100,30%;89,23%;33,91%;31,24%;
;BISCHHEIM;16 964; ;A;743;394;860;253;988;217;56,80%;107,70%;97,90%;29,50%;1,15%;
;LINGOLSHEIM;16 860;;A ;534;298;635;71;365;141;54,77%;103,20%;111,27%;11,16%;44,86%;
;OSTWALD;10 820;;A;647;317;720;498;506;161;60,23%;0,00%;93,12%;69,12%;70,21%;
;HOENHEIM;10 767;;A;578;325;609;109;295;151;0,50%;;0,99%;0,18%;0,52%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 031;;B;595;345;684;492;451;97;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;596;299;623;205;835;91;;;;;;
;ECKBOLSHEIM;5 937;;B;624;387;701;276;474;95;;;;;;
;VENDENHEIM;5 720;;B;775;437;818;528;341;90;;;;;;
;WANTZENAU (LA);5 501;;B;597;408;734;512;501;95;;;;;;
;MUNDOLSHEIM;5 317;;B;770;402;895;128;1 124;94;;;;;;
;REICHSTETT;4 900;;B;487;343;637;127;599;85;;;;;;
;FEGERSHEIM;4 533;;B;750;527;817;1 193;;84;;;;;;
;OBERHAUSBERGEN;4 569;;B;388;293;544;255;;47;;;;;;
;ESCHAU;4 429;;B;543;375;746;696;167;99;;;;;;
;WOLFISHEIM;3 832;;B;587;310;584;51;668;80;;;;;;
;PLOBSHEIM;3 654;;B;554;283;570;1 266;191;95;;;;;;
;pour m‚moire valeurs moyennes (exercice 2006) :;;;;;;;;;;;;;;;
; - moyenne nationale hors Paris  ;;;;955;402;1 045;547;n.d.;244;50,3%;87,5%;100,2%;52,40%;n.d.;
; + de 100 000 hab. hors Paris;;;;1 121;464;1 242;332;1 049;269;54,7%;98,4%;97,8%;26,70%;84,4%;
; -   50 000 …  100 000 hab.;;;;1 320;566;1 446;408;1 195;329;55,1%;85,5%;100,1%;28,20%;82,7%;
; -   20 000 …   50 000 hab.;;;;1 174;506;1 281;405;1 042;295;56,1%;91,8%;99,7%;31,70%;81,3%;
; -   10 000 …   20 000 hab.;;;;1 057;449;1 166;458;876;252;55,0%;94,1%;98,9%;39,30%;75,2%;
; -    5 000 …   10 000 hab.;;;;934;412;1 050;579;n.d.;229;51,4%;88,1%;97,8%;55,10%;n.d.;
; -    3 500 …    5 000 hab.;;;;800;361;914;625;n.d.;207;48,2%;83,7%;97,2%;68,40%;n.d.;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
